Timestamp,Gender เพศ,Degree ระดับการศึกษา,Major of Study สาขา,Year of Birth ปีเกิด,Mode of Transportation วิธีการเดินทาง,Most favourite food shop in TNI ร้านอาหารที่ชอบในTNI,Most favourite food shop near TNI ร้านอาหารที่ชอบใกล้TNI,Most favourite beverage shop ร้านเครื่องดื่มที่ชอบ,Most favourite vending machine ตู้กดอัตโนมัติที่ชอบ,Most Favourite Sport Facilities กีฬาที่ชอบ,Most favourite spot to relax สถานที่พักผ่อนที่ชอบ,Time spending in the library per week (hours) เวลาที่ใช้ในห้องสมุดต่อสัปดาห์,study tools and Devices อุปกรณ์ที่ใช้ในการเรียนรู้,Device Brand แบรนด์ของอุปกรณ์,How do you spend per month คุณใช้จ่ายเท่าไรต่อเดือน,Type of accommodation รูปแบบที่พักอาศัย,Do you think the shops in the institute is expensive คุณคิดว่าสินค้าของร้านค้าในสถาบันมีราคาสูงหรือไม่,Stress from Study ความเครียดจากการเรียน,Stress from Workload and Homework ความเครียดจากงานและการบ้าน,Stress from Social interaction ความเครียดจากสังคม,Stress from Lecturer ความเครียดจากอาจารย์ผู้สอน,Stress from Family Situation ความเครียดจากครอบครัว,How satisfied with the job prospect of TNI คุณพึงพอใจกับโอกาสในการได้รับงานจากTNIหรือไม่,How satisfied with the language proficiency in English and Japanese คุณพึงพอใจกับทักษะระดับภาษาอังกฤษและญี่ปุ่นขนาดไหน,How satisfied with the first aid room facility คุณพึงพอใจกับห้องปฐมพยาบาลหรือไม่,How satisfied with the library คุณพึงพอใจกับห้องสมุดขนาดไหน,How satisfied with the WiFi and Internet คุณพึงพอใจกับไวไฟและอินเตอร์เน็ตขนาดไหน,Are you satisfied with the speed of the printing services shop คุณพึงพอใจกับความเร็วของร้านถ่ายเอกสารหรือไม่,Does cooperative shop has the item or goods you want สหกรณ์มีสินค้าที่คุณต้องการหรือไม่,Overall opinion about TNI ความคิดเห็นเกี่ยวกับTNI
11/28/2022 10:01:43,Male/ชาย,Undergraduate/ปริญญาตรี,DSA,2001,Walk เดินเท้า,Hainanese chicken rice ข้าวมันไก่นายโส่ย,Green Steak shop สเต็กคุณพีซ (ร้านเขียว),Infinity/เอมุ (Building E) ตึก E,7-11,Table Tennis,Vacant Classroom ห้องเรียนที่ว่าง,less than 1 น้อยกว่า 1,"Tablet, Laptop, PC, Smart Phone","Apple, Samsung, Acer, Asus","more than 10,000 มากกว่า10,000",Dormitory หอพัก,2,4,3,2,3,4,4,3,3,4,4,3,Sometimes บางครั้ง,4
11/28/2022 13:14:43,Male/ชาย,Undergraduate/ปริญญาตรี,DGE,2004,Walk เดินเท้า,Hiramiya Japanese Food ร้านอาหารญี่ปุ่นฮิรามิยะ,Shop opposite blue building ร้านป้านิด (ร้านตรงข้ามตึกฟ้า),Infinity/เอมุ (Building E) ตึก E,7-11,Badminton court,E Building lounge เลานจ์ตึก E,1 - 5,"Tablet, Laptop, Paper, PC, Smart Phone","Apple, Acer, Other","more than 10,000 มากกว่า10,000",Dormitory หอพัก,2,3,1,1,1,2,5,5,3,5,4,4,Sometimes บางครั้ง,5
11/28/2022 13:19:31,Female/หญิง,Undergraduate/ปริญญาตรี,JIB,2004,Car รถยนต์,Snack shop ขนม-นม-เนย,7-11,Coffee Shop (Building B) ตึก B,7-11,Gym,E Building lounge เลานจ์ตึก E,less than 1 น้อยกว่า 1,"Tablet, Smart Phone","Samsung, Huawei","5,000 - 10,000",Condominium คอนโดมิเนียม,3,1,1,1,2,2,5,5,3,3,4,5,Always มีตลอดเวลา,5
11/28/2022 13:20:51,Female/หญิง,Undergraduate/ปริญญาตรี,DSA,2002,Walk เดินเท้า,Hainanese chicken rice ข้าวมันไก่นายโส่ย,Green Steak shop สเต็กคุณพีซ (ร้านเขียว),Coffee Shop (Building B) ตึก B,7-11,Badminton court,library ห้องสมุด,10 - 15,"Tablet, Laptop, Smart Phone","Apple, Lenovo","3,000 - 5,000",Dormitory หอพัก,4,3,4,1,3,3,4,3,3,4,4,3,Sometimes บางครั้ง,4
11/28/2022 13:20:52,Female/หญิง,Undergraduate/ปริญญาตรี,DSA,2002,Walk เดินเท้า,Hiramiya Japanese Food ร้านอาหารญี่ปุ่นฮิรามิยะ,Shop under blue building ร้านพี่นก (ร้านใต้ตึกฟ้า),Sunrise Coffee (Building A) ตึก A,7-11,Basketball / Volley ball,library ห้องสมุด,10 - 15,"Tablet, Laptop","Apple, Acer","3,000 - 5,000",Dormitory หอพัก,1,1,4,3,1,1,5,4,3,4,4,3,Sometimes บางครั้ง,5
11/28/2022 13:20:54,Female/หญิง,Undergraduate/ปริญญาตรี,DGE,2003,Car รถยนต์,Fast food building D ป้ากาณจน์ ตึก D,7-11,Sunrise Coffee (Building A) ตึก A,7-11,Badminton court,E Building lounge เลานจ์ตึก E,1 - 5,"Tablet, Laptop, Paper, PC, Smart Phone","Apple, Lenovo","less than 3,000 น้อยกว่า3,000",Detached House บ้านเดี่ยว,1,2,2,1,1,1,3,3,3,2,2,3,Sometimes บางครั้ง,4
11/28/2022 13:22:59,Female/หญิง,Undergraduate/ปริญญาตรี,IBN,2003,Public Transport การเดินทางสาธารณะ,Nima (Halal food) ร้านนิมา,7-11,Coffee Shop (Building B) ตึก B,7-11,Badminton court,library ห้องสมุด,1 - 5,"Paper, Smart Phone",XiaoMi,"less than 3,000 น้อยกว่า3,000",Condominium คอนโดมิเนียม,1,1,1,2,1,1,3,5,3,5,2,3,Sometimes บางครั้ง,4
11/28/2022 13:47:58,Female/หญิง,Undergraduate/ปริญญาตรี,DGE,2003,Walk เดินเท้า,Snack shop ขนม-นม-เนย,Kitty shop (japanese food) ร้านคิตตี้,Coffee Shop (Building D) ตึกD,SUN108,Basketball / Volley ball,E Building lounge เลานจ์ตึก E,less than 1 น้อยกว่า 1,"Tablet, Laptop, PC, Smart Phone","Apple, Samsung, Asus","3,000 - 5,000",Condominium คอนโดมิเนียม,3,4,3,2,2,3,3,3,2,3,2,3,Always มีตลอดเวลา,4
11/28/2022 14:05:57,Female/หญิง,Undergraduate/ปริญญาตรี,IBN,2004,Public Transport การเดินทางสาธารณะ,Nima (Halal food) ร้านนิมา,7-11,Coffee Shop (Building B) ตึก B,SUN108,Badminton court,Other,less than 1 น้อยกว่า 1,"Laptop, Paper, Smart Phone","Samsung, Asus","less than 3,000 น้อยกว่า3,000",Town home ทาวน์โฮม,1,2,1,2,1,1,3,3,3,2,1,4,Sometimes บางครั้ง,4
11/28/2022 18:27:32,Male/ชาย,Undergraduate/ปริญญาตรี,MT,2003,Walk เดินเท้า,Hainanese chicken rice ข้าวมันไก่นายโส่ย,Green Steak shop สเต็กคุณพีซ (ร้านเขียว),Infinity/เอมุ (Building E) ตึก E,7-11,Basketball / Volley ball,E Building lounge เลานจ์ตึก E,1 - 5,"Laptop, Smart Phone","Samsung, Lenovo","5,000 - 10,000",Dormitory หอพัก,3,1,5,2,1,1,3,3,5,4,2,4,Sometimes บางครั้ง,4
