S.No,Year,Month,Day,Hour,Minute,Second,PM1,PM2.5,PM10,Temp,Humidity,Light,CO,Water Temp,pH
1,2019,11,26,10,27,20,8,12,14,25,91,34,95,24.63,6.52
2,2019,11,26,10,28,12,9,12,15,25,91,34,95,24.63,6.59
3,2019,11,26,10,29,4,10,14,15,26,89,34,95,24.63,6.53
4,2019,11,26,10,29,56,8,12,12,26,90,34,95,24.56,6.59
5,2019,11,26,10,30,43,9,12,15,26,91,34,95,24.56,6.54
6,2019,11,26,10,31,31,9,12,15,26,91,34,95,24.56,6.57
7,2019,11,26,10,32,23,7,11,12,26,89,34,95,24.56,6.53
8,2019,11,26,10,33,15,8,12,16,26,89,34,95,24.5,6.57
9,2019,11,26,10,34,2,0,14,15,25,92,34,95,24.56,6.56
10,2019,11,26,10,34,55,8,11,14,26,92,35,95,24.56,6.54
11,2019,11,26,10,35,42,0,15,26,90,35,95,24.5,6.55,
12,2019,11,26,10,36,30,9,12,14,26,92,34,95,24.5,6.74
13,2019,11,26,10,37,18,8,12,14,26,89,34,95,24.5,6.59
14,2019,11,26,10,38,5,7,10,11,26,90,34,95,24.5,6.57
15,2019,11,26,10,38,53,8,11,12,26,91,34,95,24.5,6.55
16,2019,11,26,10,39,40,8,12,14,26,91,34,95,24.5,6.54
17,2019,11,26,10,40,27,0,16,26,88,34,95,24.5,6.55,
18,2019,11,26,10,41,16,7,9,11,26,89,34,95,24.5,6.54
19,2019,11,26,10,42,4,8,12,12,26,91,34,95,24.5,6.55
20,2019,11,26,10,42,56,7,11,14,26,90,34,95,24.5,6.57
21,2019,11,26,10,43,44,5,9,11,26,89,34,95,24.44,6.56
22,2019,11,26,10,44,31,8,11,12,26,91,34,95,24.44,6.55
23,2019,11,26,10,45,18,9,12,15,26,91,34,95,24.44,6.52
24,2019,11,26,10,46,6,8,10,14,26,89,34,95,24.44,6.562019
25,2019,11,26,10,47,41,8,13,13,26,90,34,95,24.44,6.55
26,2019,11,26,10,48,28,0,14,26,88,34,95,24.44,6.57,
27,2019,11,26,10,49,15,8,11,13,26,91,34,95,24.44,6.2019
28,2019,11,26,10,50,50,8,13,13,26,88,34,95,24.44,6.55
29,2019,11,26,10,51,38,7,11,13,27,90,34,95,24.44,6.58
30,2019,11,26,10,52,25,8,13,14,26,91,34,95,24.44,6.52019
31,2019,11,26,10,54,1,8,11,14,25,91,34,95,24.38,6.55
32,2019,11,26,10,54,49,8,10,11,26,89,34,95,24.38,6.53
33,2019,11,26,10,55,42,8,11,11,26,91,34,95,24.38,6.55
34,2019,11,26,10,56,29,8,11,13,26,89,34,95,24.38,6.54
35,2019,11,26,10,57,17,7,11,13,27,91,34,95,24.38,6.54
36,2019,11,26,10,58,10,8,11,14,28,88,34,95,24.38,6.58
37,2019,11,26,10,58,56,7,10,10,26,91,34,95,24.38,6.55
38,2019,11,26,10,59,44,7,9,10,26,88,34,95,24.38,6.57
39,2019,11,26,11,0,31,7,8,9,26,91,34,95,24.38,6.57
40,2019,11,26,11,1,19,5,10,10,26,92,34,95,24.31,6.53
41,2019,11,26,11,2,7,8,10,11,26,91,34,95,24.31,6.56
42,2019,11,26,11,2,55,8,11,13,26,91,34,95,24.31,6.54
43,2019,11,26,11,3,42,7,9,10,26,88,34,95,24.31,6.53
44,2019,11,26,11,4,35,5,9,10,26,92,34,95,24.31,6.54
45,2019,11,26,11,5,22,7,9,9,26,91,34,95,24.31,6.52
46,2019,11,26,11,6,9,7,10,10,26,89,34,95,24.31,6.53
47,2019,11,26,11,6,57,7,11,14,27,90,34,95,24.31,6.52
48,2019,11,26,11,7,50,8,11,13,26,91,34,95,24.31,6.5
49,2019,11,26,11,8,37,7,9,9,26,88,34,95,24.31,6.51
50,2019,11,26,11,9,25,7,10,10,27,90,34,95,24.31,6.51
51,2019,11,26,11,10,13,5,9,9,27,88,34,95,24.31,6.57
52,2019,11,26,11,11,1,5,9,9,26,90,34,95,24.31,6.54
53,2019,11,26,11,11,48,7,11,14,26,89,34,95,24.31,6.54
54,2019,11,26,11,12,36,5,9,11,29,91,35,95,24.31,6.54
55,2019,11,26,11,13,23,5,9,10,27,91,34,95,24.31,6.56
56,2019,11,26,11,14,12,7,10,13,27,90,34,95,24.31,6.52
57,2019,11,26,11,15,0,5,10,14,27,91,34,95,24.31,6.54
58,2019,11,26,11,15,48,7,11,11,26,88,34,95,24.31,6.56
59,2019,11,26,11,16,33,8,11,21,28,90,34,95,24.31,6.52019
60,2019,11,26,11,18,12,5,9,10,26,90,34,95,24.31,6.54
61,2019,11,26,11,19,0,0,17,26,88,34,95,24.31,6.55,
62,2019,11,26,11,19,48,5,8,10,26,90,34,95,24.31,6.55
63,2019,11,26,11,20,35,5,7,9,26,91,34,95,24.31,6.52
64,2019,11,26,11,21,22,7,10,10,26,88,34,95,24.25,6.57
65,2019,11,26,11,22,10,7,10,14,28,91,34,95,24.31,6.54
66,2019,11,26,11,22,58,8,9,10,26,88,34,95,24.25,6.53
67,2019,11,26,11,23,46,5,9,11,28,92,34,95,24.25,6.54
68,2019,11,26,11,24,33,5,8,9,26,91,34,95,24.25,6.58
69,2019,11,26,11,25,21,7,9,10,24,88,34,95,24.25,6.52
70,2019,11,26,11,26,9,7,10,13,26,91,34,95,24.2019,11
71,2019,11,26,11,27,50,5,8,9,26,91,34,95,24.25,6.53
72,2019,11,26,11,28,37,5,8,8,25,88,34,95,24.25,6.53
73,2019,11,26,11,29,24,5,7,7,26,88,34,95,24.25,6.53
74,2019,11,26,11,30,11,7,10,10,28,91,34,95,24.25,6.54
75,2019,11,26,11,30,59,5,8,9,26,90,34,95,242019,11
76,2019,11,26,11,32,34,5,8,11,25,90,34,95,24.19,6.55
77,2019,11,26,11,33,21,0,9,9,26,91,34,95,24.19,6.52
78,2019,11,26,11,34,13,5,8,9,26,90,34,95,24.19,6.53
79,2019,11,26,11,35,0,4,7,9,26,89,34,95,24.19,6.53
80,2019,11,26,11,35,52,4,5,5,26,88,34,95,24.19,6.53
81,2019,11,26,11,36,40,6,7,8,28,90,33,95,24.19,6.52
82,2019,11,26,11,37,27,5,9,9,26,90,34,95,24.19,6.53
83,2019,11,26,11,38,15,0,8,10,25,88,34,95,24.19,6.52
84,2019,11,26,11,39,2,5,7,7,26,90,34,95,24.19,6.55
85,2019,11,26,11,39,50,7,9,10,26,90,34,95,24.19,6.52
86,2019,11,26,11,40,37,5,7,9,26,88,34,95,24.19,6.54
87,2019,11,26,11,41,24,5,8,10,29,92,34,95,24.19,6.52
88,2019,11,26,11,42,16,4,7,8,28,91,34,95,24.19,6.54
89,2019,11,26,11,43,4,5,8,9,27,88,34,95,24.19,6.53
